day,radius
3,190.3456164
3,187.5004949
3,184.9987129
3,178.1063884
3,181.1683862
3,166.0994172
3,177.8203823
3,189.4677568
3,186.8831233
4,209.9726835
4,220.4430658
4,224.6920299
4,202.6731647
4,205.3380728
4,227.1777283
4,213.8355528
4,231.4783488
4,220.4586812
5,210.0183492
5,226.8549571
5,215.2144229
5,208.3031652
5,217.421878
5,219.6754344
5,219.3135962
5,213.6296236
5,209.8684348
5,222.6505869
7,264.1204751
7,267.9992558
7,262.4946604
7,266.7006114
7,269.3847565
7,274.3008185
7,247.5389653
7,254.6040011
7,262.0512118
7,249.7275222
10,322.4093017
10,306.639351
10,287.8062806
10,322.9960122
10,292.0972987
10,312.5468077
10,310.3979672
10,286.9120967
10,321.4109661
10,281.6480327
12,302.1699947
12,319.172361
12,309.3457703
12,293.0897764
12,311.826916
12,315.8586627
12,303.5542463
12,293.0083872
12,310.6173199
12,307.5793139
14,307.9779693
14,344.3673258
14,356.8231528
14,319.2101078
14,351.716205
14,312.9839187
14,305.2916417
14,316.3650419
14,351.5980361
14,313.9879045
16,327.7674256
16,337.9760387
16,338.447875
16,342.0331201
16,354.8018084
16,321.2028123
16,398.0819919
16,341.9036939
16,324.1017666
16,327.4349239
18,350.062426
18,358.3092046
18,348.1240294
18,338.59823
18,338.4035548
18,352.1039952
18,336.4688779
18,352.7779432
18,382.4279616
18,360.2658298
18,348.4099717
18,370.7031843
18,360.2194158
18,366.0198957
18,360.7200988
18,358.4443689
18,340.9970562
18,345.1497229
18,341.0258983
18,343.5215952
21,350.6940244
21,353.5973632
21,324.3793218
21,294.0437853
21,324.9140454
21,347.8943996
21,279.1805189
21,365.1657309
21,377.6622011
21,329.4084786